index,reduction,perturbation_type,control_task,layer,metric_mean,metric_std,metric_count
211,full,typos,NONE,12,-0.09061652719974517,0.3937786297337292,15
212,full,typos,NONE,13,0.114583570510149,0.40937105401240564,15
213,full,typos,NONE,14,0.08572935312986373,0.3738923635975338,15
214,full,typos,NONE,15,0.020542195936044057,0.37616556171353543,15
215,full,typos,NONE,16,0.014137580742438633,0.4365434828824545,15
216,full,typos,NONE,17,-0.029595963284373285,0.46161850687886957,15
217,full,typos,NONE,18,-0.07489419206976891,0.3877018975309329,15
218,full,typos,NONE,19,-0.05583157340685526,0.4288589513599971,15
219,full,typos,NONE,20,-0.05225178748369218,0.44050191001793115,15
220,full,typos,NONE,21,0.011960861583550737,0.3962338903787772,15
221,full,typos,NONE,22,0.05104802747567494,0.4083517238486267,15
222,full,typos,NONE,23,-0.08456695924202601,0.39724208974120834,15
223,full,typos,NONE,24,-0.018443174039324144,0.4408456200332681,15
224,full,typos,RANDOMIZATION,0,0.26198393431197253,0.4625924212305583,4
225,full,typos,RANDOMIZATION,1,0.06809575135509173,0.2560672547884482,15
226,full,typos,RANDOMIZATION,2,-0.010946441317598036,0.29624138313169285,15
227,full,typos,RANDOMIZATION,3,-0.04267541069226959,0.30238307361028416,15
228,full,typos,RANDOMIZATION,4,-0.06764472201466559,0.29647408368554384,15
229,full,typos,RANDOMIZATION,5,-0.05778559800237416,0.26736411385090914,15
230,full,typos,RANDOMIZATION,6,-0.12252230147520701,0.29774547811838015,15
231,full,typos,RANDOMIZATION,7,-0.0032324351370334663,0.2962944721352068,15
232,full,typos,RANDOMIZATION,8,0.037441546718279504,0.35058965434075917,15
233,full,typos,RANDOMIZATION,9,-0.015555198676884182,0.3805481610659045,15
234,full,typos,RANDOMIZATION,10,-0.06385977262010176,0.2879238537472549,15
235,full,typos,RANDOMIZATION,11,-0.060326232140262906,0.305021869924823,15
236,full,typos,RANDOMIZATION,12,-0.05569560540219147,0.36455350069823894,15
237,full,typos,RANDOMIZATION,13,0.016883874932924915,0.32600245845640924,15
238,full,typos,RANDOMIZATION,14,-0.04978530084093412,0.31842805169570026,15
239,full,typos,RANDOMIZATION,15,-0.14037818685173986,0.19101595360322848,15
240,full,typos,RANDOMIZATION,16,-0.01390653395404418,0.2449829845535325,15
241,full,typos,RANDOMIZATION,17,-0.042501322428385405,0.27498200135302286,15
242,full,typos,RANDOMIZATION,18,-0.0657892455657323,0.25784920472908296,15
243,full,typos,RANDOMIZATION,19,-0.019593746960163107,0.31530297949627745,15
244,full,typos,RANDOMIZATION,20,-0.013951230545838677,0.2947897817637977,15
245,full,typos,RANDOMIZATION,21,0.05203979406505824,0.28952515997760025,15
246,full,typos,RANDOMIZATION,22,0.09577938116466007,0.2623178691378319,15
247,full,typos,RANDOMIZATION,23,0.07091837413609028,0.29541820300284366,15
248,full,typos,RANDOMIZATION,24,-0.035540695985158285,0.3356011589560701,15
